parking_id;nom;adresse;latitude;longitude;provenance;google_place_id;google_rating;google_user_ratings_total;operateur;nb_places;tarif_1h_eur;info_source;paris_od_id;adresse_entree;url_site;tarif_15mn_eur;tarif_30mn_eur;tarif_1h30_eur;tarif_2h_eur;tarif_3h_eur;tarif_4h_eur;tarif_7h_eur;tarif_8h_eur;tarif_9h_eur;tarif_10h_eur;tarif_11h_eur;tarif_12h_eur;tarif_24h_eur
pk_0001_alma-george-v;ALMA GEORGE V;19 avenue george v 75008 paris;48.86532864;2.30157196;public_paris;ChIJKzzzUt1v5kcRe6IAzhaH2X0;3.4;204.0;INDIGO;232;5.8;opendata.paris.fr;75108-P-110;19 avenue george v 75008 paris;https://fr.parkindigo.com/parking/paris-75008/alma-george-v-75080700;1.45;2.9;8.7;11.6;17.4;23.2;40.6;46.4;52.2;52.2;52.2;52.2;52.2
pk_0002_anvers;ANVERS;41 bis boulevard de rochechouart 75009 paris;48.8826603;2.34401878;public_paris;ChIJwXVPSEJu5kcRXbOAnd5l1yI;3.9;278.0;SAGS;486;4.7;opendata.paris.fr;75109-P-023;41 bis boulevard de rochechouart 75009 paris;https://www.sags-parking.fr/parking/161/paris-anvers-montmartre;1.2;2.4;7.1;9.4;14.1;18.8;32.9;37.6;42.3;42.3;42.3;42.3;42.3
pk_0003_bac-montalembert;BAC MONTALEMBERT;39 rue du bac 75007 paris;48.85659157;2.32697691;public_paris;ChIJOcg_Bypu5kcRykA72J_fBgY;3.5;81.0;SAEMES;410;5.1;opendata.paris.fr;75107-P-042;39 rue du bac 75007 paris;https://www.saemes.fr/fr/parking/parking-bac-montalembert;1.3;2.55;7.65;10.2;15.3;20.4;35.7;40.8;45.9;45.9;45.9;45.9;45.9
pk_0004_bastille;BASTILLE;29 boulevard de la bastille 75012 paris;48.84948604;2.36818245;public_paris;ChIJAcGnOgJy5kcRCLDHOGkRIxw;3.2;222.0;INDIGO;227;4.8;opendata.paris.fr;75112-P-029;29 boulevard de la bastille 75012 paris;https://fr.parkindigo.com/parking/paris-75012/bastille-75121100;1.2;2.4;7.2;9.6;14.4;19.2;33.6;38.4;43.2;43.2;43.2;43.2;43.2
pk_0005_baudoyer;BAUDOYER;25 ter rue de rivoli 75004 paris;48.85647646;2.35539936;public_paris;ChIJn2bNVR1u5kcRURRx4pD2NBI;3.2;38.0;REALPARK S.A.;229;5.2;opendata.paris.fr;75104-P-124;25 ter rue de rivoli 75004 paris;http://realpark.fr/parking/baudoyer.html;1.3;2.6;7.8;10.4;15.6;20.8;36.4;41.6;46.8;46.8;46.8;46.8;46.8
pk_0006_bercy-relais-mercure;BERCY RELAIS MERCURE;69 ter rue de bercy 75012 paris;48.83817784;2.38153136;public_paris;ChIJic-0-hhy5kcRs0J-yQ9-aNo;4.4;1405.0;SIM;157;3.6;opendata.paris.fr;75112-P-062;69 ter rue de bercy 75012 paris;https://all.accor.com/hotel/0941/index.fr.shtml;0.9;1.8;5.4;7.2;10.8;14.4;22;24;26;28;30;30;30
pk_0007_bercy-seine-vehicules-legers;Bercy Seine;210 quai de bercy 75012 paris;48.8362563;2.3793641;public_paris;ChIJbeuPij1y5kcRxeBreuvWvyM;3.4;159.0;SAEMES;284;4.6;opendata.paris.fr;75112-P-129;210 quai de bercy 75012 paris;https://www.saemes.fr/fr/parking/parking-bercy-seine;1.15;2.3;6.9;9.2;13.8;18.4;32.2;36.8;41.4;41.4;41.4;41.4;41.4
pk_0008_bibliotheque-f-mitterrand-rive-g;BIBLIOTHEQUE F. MITTERRAND (RIVE GAUCHE);16 rue emile durkheim 75013 paris;48.83224971;2.37732985;public_paris;ChIJAflt_zxy5kcRmeE4zjXi9ig;4.4;2932.0;INDIGO;624;4.2;opendata.paris.fr;75113-P-151;16 rue emile durkheim 75013 paris;https://fr.parkindigo.com/parking/paris-75013/bibliotheque-francois-mitterrand-75131100;1.05;2.1;6.3;8.4;12.6;16.8;29.4;33.6;37.8;37.8;37.8;37.8;37.8
pk_0009_bords-de-seine-freyssinet-rive-g;BORDS DE SEINE FREYSSINET (RIVE GAUCHE);25 ter rue abel gance 75013 paris;48.83515677;2.3730091;public_paris;ChIJXaoceiJy5kcRIglYuNNbqds;3.5;138.0;INDIGO;392;4.2;opendata.paris.fr;75113-P-150;25 ter rue abel gance 75013 paris;https://fr.parkindigo.com/parking/paris-75013/bords-de-seine-freyssinet-75131000;1.05;2.1;6.3;8.4;12.6;16.8;29.4;33.6;37.8;37.8;37.8;37.8;37.8
pk_0010_bourse;BOURSE;12 quater place de la bourse 75002 paris;48.86963785;2.34077428;public_paris;ChIJfeYZzlRv5kcRSi3bYX7ZBMI;3.9;7.0;SAGS;639;5;opendata.paris.fr;75102-P-048;12 quater place de la bourse 75002 paris;https://www.sags-parking.fr/parking/62/paris-bourse-grands-boulevards;1.25;2.5;7.5;10;15;20;35;40;45;45;45;45;45
pk_0011_carnot;CARNOT;14 ter avenue carnot 75017 paris;48.87597062;2.29327733;public_paris;ChIJ6UXHkOxv5kcRNSkPQzQIPY8;2.7;22.0;SAEMES;171;5;opendata.paris.fr;75117-P-011;14 ter avenue carnot 75017 paris;https://www.saemes.fr/fr/parking/parking-carnot;1.25;2.5;7.5;10;15;20;35;40;45;45;45;45;45
pk_0012_champs-elysees;CHAMPS ELYSEES;64 avenue des champs elysees 75008 paris;48.870672;2.305418;public_paris;ChIJj1c_uMNv5kcRes2uPZYywU0;;;SAEMES;647;5.5;opendata.paris.fr;75108-P-107;64 avenue des champs elysees 75008 paris;https://www.saemes.fr/fr/parking/parking-champs-elysees;1.4;2.8;8.3;11;16.5;22;38.5;44;49.5;49.5;49.5;49.5;49.5
