photo_id;parking_id;scene_class;selected_role;label_pred;is_selected;manual_status;chemin_rel;lien_photo;photo_reference;source_rank
indigo_generic;;plaque_bleu;Indigo;;True;indigo;;;Ab43m-tG7q0AHvIkF3ITDWCYvP8iILwa5pEfk0PsM692H9DkdThklLmll82whAVf6s8I2yFAaeDGBBebwxw7wcw44glL5Xz5w1O43GzmkT0Trxj73SpgmtgCbaXEe47Fjx9xaEwTISYNGXKm_v3JnNKoXdRVGvA8JNM7Z4MI5NXqibb-mBxcVpKvBXALquvlpLxL7kpQxEfWB9I4iBHRuzzIfv8FWNL2ES-deFmOWviFxmtSUPWkVfmdn_9-ipQhZk6CsOF21BuIE0zXXJmnLeUzOWykcfKZsiwFBSpNyDcAZ_HrcXK8CGcT1m4cCbCwbmxGHOCOSJ0mklpG_CBnPL0Ku9dXbH8Iqw0sNvuraivvB82P9OmX0_PAMAN6VzamWCW0stv1UdRDyespAAZDGYn4QZ1BEmCNPNXcUBTX65NlXqlrzvhV;3
pk_0001_alma-george-v_ph_01;pk_0001_alma-george-v;interieur;entree_main;entree;True;pending;images/pk_0001_alma-george-v/entree.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0001_alma-george-v/entree.jpg;Ab43m-thDoarIdZWGzokH4io6Eww_kZVyxsPXNpUkDKtqawgcben5ISeCgHd54ZI8vCthKlpgJQ65glTcxQ3G4os7_Lkmrg1WBWEPHDETqJ_JxqEYbmMvEmt3-iTRVOndTIPj4peUOUkSbAQ3ezOwXLjd52MDDGh8T65XpbgeI0KKvNr0Y0tzJMy_tVfL0_137bTiPh3VvQDDcVRDjKwRFgoaFQK_s8OKYOllTFYeDjLqE6ldW8-_kFtpjcO4BaBoZdcJYeR_6JD3LcK2cfBnDmWxRTCBBeILpY9VXICspfEvlyInVHnGmw0_xRczP-b3uSIIHehe3oKAVGz_Z09nC2_I3rX6xryUcLpbYyWgKaBZZAG5-sVYInx_B2LtgtiwragnMjhk7ARSiIzEVVuz3kLJxqYGrycYktVKLqgE60-Qqg;1
pk_0001_alma-george-v_ph_02;pk_0001_alma-george-v;interieur;interieur_1;interieur;True;pending;images/pk_0001_alma-george-v/interieur_1.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0001_alma-george-v/interieur_1.jpg;Ab43m-sav_GCuwFob09AZIugwpw4njXsU7H3IaKepmjV9-V7MF58MF1Wx636_DhncvLAUT9GpBwz16X46pUUUGm2vt0Wu7__hNDTDRrTljov5L8mOoKQZOYWlww-wjYkLSr4NM6g8VIo-sa-js0EIqHFxeK8TamYQWk3CgpT4bIn3vP65mCYINjaB3BaKz98cbViljfL-nlFZBIoEPW92OiXIJmrlfMCf6nkNUykyJ1WtoOvb9tWf47-f2rG9F_oJhQzFmEx0IzhHYpylQ6tsk8yRIgFLb2h-FQKmY9RtlaO25WFBco0obcvUjvSBYz3QTBACY-3qtU9T8loRX-ig_JmKgE_KZgPXemqljgadqe787skQls8ORUZqnm_hAGz07zB3uNWMEs-qTpTk5fYRVUFL-Hl6r1OYnxXKZkNhQT4OXrw7w;2
pk_0001_alma-george-v_ph_03;pk_0001_alma-george-v;interieur;interieur_2;interieur;True;pending;images/pk_0001_alma-george-v/interieur_2.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0001_alma-george-v/interieur_2.jpg;Ab43m-vIsGkBrUuLZXxh04rwxGDCvaK0YJzX-qAQPEj_3zlY9rPk_nRyDQ55k8Dy4koux8MtTA6hWEN7oL0_2nh-wHjBbukq-SlBEgCXoj6DbWi5-OmieP0HW3c4FfiBHAQeZm7--F7Hk3blDdOg_R6KaG2T9CqUcmCDJCCuOGhnYap96MA_K3aKQB4Zorlku4dRCZeEbKyfOFKxVZGXaVRM5Pd9UXNQO11Y_oY20V9NbztcpAUDxqtmrW30rjjo4H14A09iow6nepzG5VKpApf__gdQLI6IeqJevCKDNQI9-Oqcjn60ZQToZoZEe-oeGB9Y1dgcPSjO8TdcbCOw0lM4Xs2hJOue3w25QDfIUKTEvmxpkdQYS74yBtx1q5Aff4hwPlbmcSrYAwfwmjlpMY_zyaUu-wRmVzPXdseZNv2j6V6JUQ;3
pk_0002_anvers_ph_01;pk_0002_anvers;plaque_bleu;entree_main;entree;True;hors_sujet;images/pk_0002_anvers/entree.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0002_anvers/entree.jpg;Ab43m-vNaTCviUIjqECVPrq5YLhHwXzQOBF-1Zy2a-t7IHd5jzIU9EVtZS93ijjyVnN7xGXzaMr_-NjzWVcYBWl38sksq4yl4sTmGmTjzrhDSPX5T9a2rPC0IdIP2tShass-NK_CKaj0Rsu1E3UoirjCV88f96rPKY59VpDIBgC2TQSLeyEXaG7mG2T7FLObT2BEhUm6p8F3ENWgliSv2-l8jmKuUgbymIDqWEZf4TfcdW35MH-OVpKW1RFTmB14Q60ebzyvG9icQiwUTY21dndMsrVcw3dFaZB0DViDpSjycDc5vfxvaIGlWly_ZfPV2KXHMVTxC8by3OEtNGDLvDOWqgssyiCOPQM8yGM7foVqWK4Iz3b5TKxYG37BvWYC8WvHxmUmpY1FYwFQ2H6CGLBL2u3OkjTWasFpBGP4EqLOwqj0WVnzeLUk8fy7OqW_2WJz;1
pk_0002_anvers_ph_02;pk_0002_anvers;interieur;interieur_1;interieur;True;pending;images/pk_0002_anvers/interieur_1.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0002_anvers/interieur_1.jpg;Ab43m-tYGiyiNt8yMkX-pFWsprLs-Qd5ebcpjCFfx1pY9d9UTN3RRGLEVuFRN9MavN6uavejhifrxQUBeWwmQq-8I66UyokhMdPxVheErXzfAcgz2rnXv06T_lP6YD08iXTS9QUp6RmPO_evO5k2oEN20DidcZQg58bxtmedL34-ec82xK-VElaXOUpxDHLkMoQt01w4hzJC9PwaEa-Ku8y0cZG-cJOyHGKe1gNxzYwMivROszusLAcnsacQkumTH7j6hMrnnPHsj0049CsPz-99SoY1TYrkFmdHz_UzJU2CUdpcIOPMHj_I07cYhI7JvMzAZFbs1qyccRQTUutn5qXFm0M8MZKHWfFXH7UR-qjEIIGX5t51fanlELFWWYrxQFIWKaS4EqEgz6MmE8Tw0Rz153f4ZTUugfZ8vwExf7wGNQZkGmF7L5kFBCBZK_99NrbR;2
pk_0002_anvers_ph_03;pk_0002_anvers;tarif;interieur_2;interieur;True;pending;images/pk_0002_anvers/interieur_2.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0002_anvers/interieur_2.jpg;Ab43m-sDxCyvUKtzKrLTDweHYqZXGHIyjGLLCkZtdsDgKR7tOpwJ1U5jmpw8gYXdErpg7NRhHW1N1I1bWIbxbUwV2zpyySKyfuvLMj_Z5YAv8pg_Ftd3G5p2_bDk0aZqBFWXHnjVqSitzXypCo_bFyVXbiYCXch1JszM5Eh74S523nlGhEYpXOpK_feXhalJiqm1AC_JQhgoRzFl5B6Ob2smU5qTrdQj0eFKLkojVlwruAsgDVRG4hud6xsflqqf2yEVVK3gMJbd48rOxLkVgcNC0Xxo5JNy9327DQsgc24_6ms1fvOK36GooD6GEKJp3F3Czzix7rabBaPc-98xziAtSnuX0kTvT-RJj1aIZfpcG8a5n6RUQncF00uqSMyI8ylkELPO2sjwwd30UXLJ_Fnk8o9c0xPEbxAX9OJ7OMNatkc7RCIR;3
pk_0003_bac-montalembert_ph_01;pk_0003_bac-montalembert;plaque_bleu;entree_main;entree;True;ok;images/pk_0003_bac-montalembert/entree.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0003_bac-montalembert/entree.jpg;Ab43m-t6IN-Cv5hO-BAwpTKzQ9MgvqqKw0svar_8DKtSxjs8Kur5iKew1EpiKYH5AHrsudniVc4OElujwdVtvNPvIvK4X9B54zlFpBZYAmxhHoFjSnSjuBSGiy4vWaNqqVDcOnktaj_PpzR4B5_s6YvhP1_vVD_4FfhLMxU7uaZtUk_2wxPhEDHwrcTYUsSSwSwuFUUS-KECtrHoUzui9iKlHoYRj3ggbtffDjV2BKtrjHYCP32WeSQPqSaEDMsOwVCkKv-1cxYRv7EFIJ3kB5Rs9rnbF-gqkp6yylslDt2qxA7FvlgASUkKV-GcmPzzgi3g54L8kK2ar2s-bxuvgYS7g5UNUnSWC_wyJL0QxIRwVvaaMpgwP-0qPhKO_M4Iu7Zmu6F4OsyN58r1iuHZ8RW_VYmJVySe7Yon3WSpIqzPtor2kRcM5hfTKX6nwXgObguZ;1
pk_0003_bac-montalembert_ph_02;pk_0003_bac-montalembert;interieur;interieur_1;interieur;True;pending;images/pk_0003_bac-montalembert/interieur_1.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0003_bac-montalembert/interieur_1.jpg;Ab43m-uMH93A-29ru_B0YFhLkEmpOKB-aglB1nWedzTQwIewENY6Wuk89_cIHNm-LmCN5t9oanviv6ayhXITvK-omO0gOmLSoaFf4XmoYY1RwrmAejtx8-D9L5-F3qH4ffuuG3HAbRtdoDIaZDbvokKJbF5PnXmOh9tggmbF3wMkHCJeD33Su9nTLc5G5Kc7iSuDDOYuz8MVv3QDt8alWOhMVAOJqR9QmzqsQYXMAqtisWgdjsUXX7ROYzIZdNP8_DyAWYNkf_swJW6xdlaXQKDmIH6F-a9IklCWukA_1Dog_n0pTp8SK7EXTBMRMSWJyEtwRENT_qZCCT8PXHVgIE5WmV25SBchNJNJl2i7T3uVMA0YnoOdNkDciJPVVYpLbZoUoW8-fb1u7KzA9-qaBK0TeOIBE1eSANDgWxza5RRL_M08syBbZ3PaLTpZ5IhFVfg5;2
pk_0003_bac-montalembert_ph_03;pk_0003_bac-montalembert;interieur;interieur_2;interieur;True;pending;images/pk_0003_bac-montalembert/interieur_2.jpg;file:///Users/jean-claude/Library/Mobile%20Documents/com~apple~CloudDocs/jc/codage/parking%20principal/donn%C3%A9e/images/pk_0003_bac-montalembert/interieur_2.jpg;Ab43m-t2aazm1-H3K2U9LmPU_CVoBaG8PqBdTnOvvpBex8D-mjMePfrPXB5W_KNYwGnSC-etheNUFEYwe2bt87vW6cquFk5nQYuHNfsg1_zi9sO5z9E5fjm8UMoFxOgyb7hn08fT8bHjpG0tY2eRAq0mIqVX-L44TN-i8j9i9BdcTtOvOaTSdIpkdnlVH-DGpPGfoFBMuZu-ZY-30w-olIMFibLT4OE-KkhDeixpWX8XK8IfbRxzCAA67lY8vAGCNalHbf2NAFkQKqWY90WcHsCFGHwoqjTseoaEYwXy6utJWPSU2f7oKV_-0_JHXD_KSGec_Sg75iwsgsnOxg0US6adQzXPR3Y0bQVZZsgjQJ34yHU0BIomopk9zBkKKJc1W8S4jFyQK9ugYfpYw-zYJpXBq4N6WYK0ZNCsFPJxw1phYvkvguaH9k9v0I2rxSksmFkR;3
